12.738, 119, 0.09
12.764, 44, 0.09
12.790, -249, 0.09
12.816, 2, 0.07
12.842, -47, 0.06
12.868, 68, 0.04
12.894, 233, 0.02
12.920, -144, -0.03
12.946, -51, -0.01
12.972, -106, -0.01
12.998, 71, -0.01
13.024, -30, 0.00
13.049, -9, 0.02
13.075, -96, 0.00
13.101, -19, 0.00
13.127, -70, -0.02
13.153, 85, 0.02
13.179, -18, 0.00
13.205, -257, -0.02
13.231, 22, 0.02
13.257, 81, 0.04
13.283, -114, 0.03
13.309, -25, 0.01
13.335, -244, -0.02
13.361, 59, -0.02
13.387, -30, -0.02
13.413, -39, -0.06
13.439, 224, -0.01
13.465, -69, -0.02
13.491, -64, -0.01
13.517, -261, -0.03
13.543, 172, -0.02
13.569, 33, -0.02
13.595, 258, -0.02
13.621, 47, -0.02
13.647, 102, 0.01
13.673, -279, -0.02
13.699, 58, -0.03
13.725, 227, -0.04
13.751, 0, -0.03
13.776, -201, -0.04
13.802, -44, -0.04
13.828, 9, -0.06
13.854, 268, -0.02
13.880, 131, -0.01
13.906, -48, -0.03
13.932, -309, -0.04
13.958, 208, -0.04
13.984, -3, -0.02
14.010, 94, -0.02
14.036, -143, -0.04
14.062, -12, -0.05
14.088, -101, -0.03
14.114, 264, -0.01
14.140, -369, -0.04
14.166, 446, -0.00
14.192, 93, -0.02
14.218, 60, 0.00
14.244, 23, 0.00
14.270, 82, 0.02
14.296, 1, 0.01
14.322, 194, 0.04
14.348, 81, 0.05
14.374, 304, 0.09
14.400, 73, 0.09
14.426, -30, 0.10
14.452, 23, 0.09
14.478, -140, 0.08
14.503, 147, 0.12
14.529, -82, 0.11
14.555, -85, 0.09
14.581, -184, 0.09
14.607, -27, 0.09
14.633, 28, 0.11
14.659, -193, 0.09
14.685, -30, 0.09
14.711, -71, 0.09
14.737, -250, 0.04
14.763, -475, 0.00
14.789, 54, 0.01
14.815, 13, 0.04
14.841, 120, 0.03
14.867, -29, 0.03
14.893, 216, 0.02
14.919, 49, 0.02
14.945, -254, -0.00
14.971, 39, 0.02
14.997, 176, 0.03
15.023, 139, 0.02
15.049, -130, 0.01
15.075, -3, 0.03
15.101, 20, 0.03
15.127, 217, 0.05
15.153, -140, 0.01
15.179, 195, 0.02
15.205, -22, 0.02
15.230, 345, 0.09
15.256, 232, 0.09
15.282, 375, 0.13
15.308, -178, 0.10
15.334, -267, 0.09
15.360, -338, 0.06
15.386, 103, 0.08
15.412, 70, 0.06
15.438, 207, 0.11
15.464, 142, 0.08
15.490, -29, 0.07
15.516, -58, 0.06
15.542, 53, 0.06
15.568, -328, 0.02
15.594, -79, 0.01
15.620, 116, 0.01
15.646, 31, 0.00
15.672, -54, -0.02
15.698, -21, -0.03
15.724, -184, -0.05
15.750, 143, -0.04
15.776, -138, -0.04
15.802, -73, -0.06
15.828, -174, -0.07
15.854, 259, -0.03
15.880, -154, -0.03
15.906, -85, -0.04
15.931, -558, -0.10
15.957, 37, -0.07
15.983, -294, -0.10
16.009, -447, -0.14
16.035, -126, -0.12
16.061, -25, -0.08
16.087, 54, -0.08
16.113, 155, -0.06
16.139, -14, -0.08
16.165, -29, -0.08
16.191, 168, -0.08
16.217, -45, -0.09
16.243, -214, -0.09
