52.920, 80, 0.00
52.946, -267, -0.02
52.972, -116, -0.05
52.998, -311, -0.11
53.024, -170, -0.16
53.050, -117, -0.17
53.076, -440, -0.20
53.102, -229, -0.20
53.128, 300, -0.17
53.154, 55, -0.15
53.180, 444, -0.11
53.206, 55, -0.15
53.232, -244, -0.19
53.258, 131, -0.14
53.284, 32, -0.10
53.310, -135, -0.11
53.336, 128, -0.08
53.362, 25, -0.07
53.387, -236, -0.10
53.413, 43, -0.09
53.439, -302, -0.17
53.465, -15, -0.16
53.491, -8, -0.16
53.517, -203, -0.19
53.543, 66, -0.16
53.569, -157, -0.16
53.595, 8, -0.14
53.621, -59, -0.15
53.647, 678, -0.10
53.673, -73, -0.11
53.699, -284, -0.16
53.725, 209, -0.17
53.751, -266, -0.19
53.777, 89, -0.22
53.803, 50, -0.23
53.829, 201, -0.19
53.855, -294, -0.24
53.881, 195, -0.20
53.907, -66, -0.20
53.933, -41, -0.19
53.959, -308, -0.24
53.985, 187, -0.19
54.011, 64, -0.17
54.037, 99, -0.18
54.063, 16, -0.17
54.089, -35, -0.17
54.114, 374, -0.11
54.140, -7, -0.09
54.166, -144, -0.12
54.192, -27, -0.10
54.218, 22, -0.10
54.244, -343, -0.11
54.270, -386, -0.14
54.296, 29, -0.10
54.322, -44, -0.09
54.348, -283, -0.11
54.374, -324, -0.10
54.400, -501, -0.12
54.426, -826, -0.23
54.452, 99, -0.23
54.478, -302, -0.30
54.504, -183, -0.33
54.530, -30, -0.30
54.556, 49, -0.31
54.582, -68, -0.32
54.608, -207, -0.33
54.634, -530, -0.39
54.660, -517, -0.44
54.686, -258, -0.45
54.712, -437, -0.49
54.738, -970, -0.56
54.764, -215, -0.58
54.790, -834, -0.66
54.816, -577, -0.70
54.841, -396, -0.74
54.867, -535, -0.78
54.893, -912, -0.87
54.919, -529, -0.91
54.945, -482, -1.03
54.971, -619, -1.08
54.997, -342, -1.09
55.023, -1105, -1.22
55.049, -640, -1.25
55.075, -609, -1.32
55.101, -1024, -1.42
55.127, -519, -1.49
55.153, -776, -1.54
55.179, -659, -1.63
55.205, -782, -1.69
55.231, -775, -1.77
55.257, -868, -1.82
